,id,x,y,unique_squirrel_id,shift,date,age,primary_fur_color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
528,529,-73.96352907511829,40.7820936628202,22G-AM-1018-02,AM,10182018,Adult,Gray,Ground Plane,,True,False,True,False,False,,True,False,False,False,False,False,False,True
529,530,-73.9696360756453,40.7786545659072,16D-PM-1010-03,PM,10102018,Adult,Gray,Above Ground,,False,False,True,True,False,,False,False,False,False,False,False,True,False
530,531,-73.97091043803229,40.7769096957616,14D-AM-1014-16,AM,10142018,Adult,Gray,Ground Plane,,False,False,True,False,False,,False,False,False,False,False,False,True,False
531,532,-73.96854290608391,40.7724786961619,11H-AM-1010-05,AM,10102018,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,True,False
532,533,-73.9652584749758,40.7803011124382,19F-PM-1017-04,PM,10172018,Adult,Gray,Ground Plane,,False,False,True,False,False,,False,False,False,False,True,False,False,True
533,534,-73.9650499507011,40.7908191782173,30A-AM-1010-01,AM,10102018,Adult,Cinnamon,Above Ground,,True,False,True,False,False,,False,False,False,False,True,False,False,True
534,535,-73.9772396728545,40.7668696411765,2E-AM-1010-02,AM,10102018,Adult,Gray,Ground Plane,,True,False,False,True,False,,False,False,False,False,False,False,True,False
535,536,-73.9561141662309,40.7976258458604,40D-PM-1013-05,PM,10132018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
536,537,-73.9682803241007,40.772451055832704,11H-AM-1010-04,AM,10102018,,Gray,,,False,False,False,False,True,,False,False,False,False,True,False,False,False
537,538,-73.9553113771098,40.797843198020395,41D-AM-1014-05,AM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
538,539,-73.97614406279659,40.770603530154204,6D-PM-1020-04,PM,10202018,,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False
539,540,-73.97468021940121,40.7731347452245,9C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,True
540,541,-73.9617612388703,40.7952875954297,35A-AM-1014-04,AM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
